Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000022165.1,GCF_000020925.1,GCF_000020885.1,GCF_000007545.1,GCF_000170215.1,GCF_000020745.1,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1
fnr,fnr,fumarate/nitrate reduction transcriptional regulator Fnr,9,9,1.0,1,2457,,,,753,753,753.0,AJBGEP_08750,HFCAGB_08105,BEJGEH_07045,GEGEGB_08285,ODDLKH_10755,LNHIMF_08625,ONMMKP_01895,IKCLMC_22545,PKJKAM_22625
gpmA,gpmA,23-diphosphoglycerate-dependent phosphoglycerate mutase,9,9,1.0,1,2456,,,,753,753,753.0,AJBGEP_03985,HFCAGB_04265,BEJGEH_03865,GEGEGB_11155,ODDLKH_06330,LNHIMF_04520,ONMMKP_06930,IKCLMC_06830,PKJKAM_05615
nagD,nagD,ribonucleotide monophosphatase NagD,9,9,1.0,1,2455,,,,753,753,753.0,AJBGEP_03530,HFCAGB_03880,BEJGEH_03470,GEGEGB_11570,ODDLKH_05875,LNHIMF_04105,ONMMKP_07385,IKCLMC_02250,PKJKAM_01715
ulaR,ulaR,HTH-type transcriptional regulator UlaR,9,9,1.0,1,2452,,,,756,756,756.0,AJBGEP_22960,HFCAGB_23095,BEJGEH_22290,GEGEGB_23390,ODDLKH_01260,LNHIMF_22395,ONMMKP_12050,IKCLMC_17150,PKJKAM_05700
group_764,ubiE,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-14-benzoquinol methylase UbiE,9,9,1.0,1,2451,,,,756,756,756.0,AJBGEP_20880,HFCAGB_21100,BEJGEH_20125,GEGEGB_17550,ODDLKH_22130,LNHIMF_20100,ONMMKP_14095,IKCLMC_02350,PKJKAM_07580
sfp,sfp,Phosphopantetheinyl transferase,9,9,1.0,1,2450,,,,756,756,756.0,AJBGEP_20270,HFCAGB_20505,BEJGEH_19495,GEGEGB_19400,ODDLKH_21530,LNHIMF_19505,ONMMKP_14690,IKCLMC_12690,PKJKAM_17585
xni,xni,flap endonuclease Xni,9,9,1.0,1,2448,,,,756,756,756.0,AJBGEP_15695,HFCAGB_15965,BEJGEH_14895,GEGEGB_15130,ODDLKH_17005,LNHIMF_15060,ONMMKP_19470,IKCLMC_19465,PKJKAM_12005
sprB,sprB,transcriptional regulator,9,9,1.0,1,2447,,,,756,756,756.0,AJBGEP_15160,HFCAGB_15395,BEJGEH_14295,GEGEGB_14560,ODDLKH_16470,LNHIMF_14535,ONMMKP_20045,IKCLMC_20000,PKJKAM_12580
mlaA,mlaA,phospholipid-binding lipoprotein MlaA,9,9,1.0,1,2446,,,,756,756,756.0,AJBGEP_12815,HFCAGB_13290,BEJGEH_12085,GEGEGB_02565,ODDLKH_14495,LNHIMF_12645,ONMMKP_22285,IKCLMC_08025,PKJKAM_14405
znuC,znuC,zinc ABC transporter ATP-binding protein ZnuC,9,9,1.0,1,2445,,,,756,756,756.0,AJBGEP_09950,HFCAGB_06625,BEJGEH_05870,GEGEGB_05260,ODDLKH_11935,LNHIMF_09845,ONMMKP_00690,IKCLMC_21295,PKJKAM_21375
flgF,flgF,Flagellar basal-body rod protein FlgF,9,9,1.0,1,2444,,,,756,756,756.0,AJBGEP_05895,HFCAGB_10620,BEJGEH_09585,GEGEGB_09215,ODDLKH_07925,LNHIMF_06070,ONMMKP_04805,IKCLMC_04115,PKJKAM_02820
bioC,bioC,malonyl-ACP O-methyltransferase BioC,9,9,1.0,1,2443,,,,756,756,756.0,AJBGEP_04105,HFCAGB_04385,BEJGEH_03985,GEGEGB_11035,ODDLKH_06450,LNHIMF_04640,ONMMKP_06595,IKCLMC_06950,PKJKAM_05495
gloB,gloB,hydroxyacylglutathione hydrolase,9,9,1.0,1,2442,,,,756,756,756.0,AJBGEP_01380,HFCAGB_01380,BEJGEH_01430,GEGEGB_13705,ODDLKH_03745,LNHIMF_01365,ONMMKP_09520,IKCLMC_10050,PKJKAM_17480
rsmJ,rsmJ,16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ,9,9,1.0,1,2433,,,,759,759,759.0,AJBGEP_18915,HFCAGB_19190,BEJGEH_18155,GEGEGB_20735,ODDLKH_20220,LNHIMF_18185,ONMMKP_16270,IKCLMC_13980,PKJKAM_18890
group_754,glpR,DeoR/GlpR family transcriptional regulator,9,9,1.0,1,2432,,,,759,759,759.0,AJBGEP_18560,HFCAGB_18830,BEJGEH_17800,GEGEGB_21095,ODDLKH_19870,LNHIMF_17850,ONMMKP_16620,IKCLMC_14335,PKJKAM_19240
group_753,,Peptidase M48 domain-containing protein,9,9,1.0,1,2431,,,,759,759,759.0,AJBGEP_16270,HFCAGB_16550,BEJGEH_15475,GEGEGB_15790,ODDLKH_17580,LNHIMF_15665,ONMMKP_18895,IKCLMC_18885,PKJKAM_01545
actS,actS,amidase activator ActS,9,9,1.0,1,2430,,,,759,759,759.0,AJBGEP_16055,HFCAGB_16330,BEJGEH_15260,GEGEGB_15550,ODDLKH_17365,LNHIMF_15415,ONMMKP_19110,IKCLMC_19100,PKJKAM_11655
prgK,prgK,type III secretion system inner membrane ring lipoprotein PrgK,9,9,1.0,1,2429,,,,759,759,759.0,AJBGEP_15185,HFCAGB_15420,BEJGEH_14320,GEGEGB_14585,ODDLKH_16495,LNHIMF_14560,ONMMKP_20015,IKCLMC_19975,PKJKAM_12555
ydiY,ydiY,Putative salt-induced outer membrane protein YdiY,9,9,1.0,1,2427,,,,759,759,759.0,AJBGEP_07025,HFCAGB_09800,BEJGEH_08805,GEGEGB_06400,ODDLKH_09025,LNHIMF_06890,ONMMKP_04030,IKCLMC_24250,PKJKAM_04455
group_752,,Chitooligosaccharide deacetylase,9,9,1.0,1,2426,,,,759,759,759.0,AJBGEP_06975,HFCAGB_09850,BEJGEH_08855,GEGEGB_06340,ODDLKH_08975,LNHIMF_06840,ONMMKP_04080,IKCLMC_24300,PKJKAM_04505
deoR,deoR,DNA-binding transcriptional repressor DeoR,9,9,1.0,1,2425,,,,759,759,759.0,AJBGEP_04465,HFCAGB_04745,BEJGEH_04290,GEGEGB_10710,ODDLKH_06800,LNHIMF_04970,ONMMKP_06235,IKCLMC_07335,PKJKAM_05140
elsH,elsH,Metal-dependent hydrolase endonuclease/exonuclease/phosphatase family,9,9,1.0,1,2424,,,,759,759,759.0,AJBGEP_04200,HFCAGB_04470,BEJGEH_04065,GEGEGB_10950,ODDLKH_06530,LNHIMF_04715,ONMMKP_06515,IKCLMC_07030,PKJKAM_05415
udp,udp,uridine phosphorylase,9,9,1.0,1,2422,,,,762,762,762.0,AJBGEP_20870,HFCAGB_21090,BEJGEH_20115,GEGEGB_17560,ODDLKH_22120,LNHIMF_20090,ONMMKP_14105,IKCLMC_02360,PKJKAM_07590
group_751,,Uncharacterized protein STM3548 contains class I glutamine amidotransferase domain,9,9,1.0,1,2421,,,,762,762,762.0,AJBGEP_18690,HFCAGB_18960,BEJGEH_17935,GEGEGB_20995,ODDLKH_19995,LNHIMF_17965,ONMMKP_16495,IKCLMC_14205,PKJKAM_19115
kduD,kduD,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD,9,9,1.0,1,2420,,,,762,762,762.0,AJBGEP_15940,HFCAGB_16210,BEJGEH_15140,GEGEGB_15400,ODDLKH_17255,LNHIMF_15305,ONMMKP_19225,IKCLMC_19220,PKJKAM_11760
surE,surE,5'/3'-nucleotidase SurE,9,9,1.0,1,2419,,,,762,762,762.0,AJBGEP_15465,HFCAGB_15700,BEJGEH_14630,GEGEGB_14850,ODDLKH_16775,LNHIMF_14825,ONMMKP_19730,IKCLMC_19695,PKJKAM_12260
cysZ,cysZ,sulfate transporter CysZ,9,9,1.0,1,2418,,,,762,762,762.0,AJBGEP_13020,HFCAGB_13525,BEJGEH_12290,GEGEGB_02325,ODDLKH_14700,LNHIMF_12850,ONMMKP_22080,IKCLMC_06750,PKJKAM_14195
group_750,,Outer membrane protein,9,9,1.0,1,2417,,,,762,762,762.0,AJBGEP_12990,HFCAGB_13495,BEJGEH_12260,GEGEGB_02355,ODDLKH_14670,LNHIMF_12820,ONMMKP_22110,IKCLMC_06780,PKJKAM_14225
group_749,,Oxidoreductase,9,9,1.0,1,2416,,,,762,762,762.0,AJBGEP_11690,HFCAGB_12205,BEJGEH_11035,GEGEGB_03660,ODDLKH_13370,LNHIMF_11605,ONMMKP_23360,IKCLMC_09095,PKJKAM_19815
yciK,yciK,YciK family oxidoreductase,9,9,1.0,1,2415,,,,762,762,762.0,AJBGEP_09050,HFCAGB_07805,BEJGEH_06745,GEGEGB_08620,ODDLKH_11045,LNHIMF_08945,ONMMKP_01595,IKCLMC_22250,PKJKAM_22320
group_748,htpX,Zn-dependent protease with chaperone function,9,9,1.0,1,2414,,,,762,762,762.0,AJBGEP_04860,HFCAGB_05125,BEJGEH_04685,GEGEGB_10320,ODDLKH_07185,LNHIMF_05345,ONMMKP_05845,IKCLMC_07720,PKJKAM_04760
stbB,stbB,fimbrial biogenesis chaperone StbB,9,9,1.0,1,2413,,,,762,762,762.0,AJBGEP_01795,HFCAGB_01795,BEJGEH_01740,GEGEGB_13295,ODDLKH_04135,LNHIMF_01835,ONMMKP_09115,IKCLMC_10500,PKJKAM_17030
miaE,miaE,tRNA isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE,9,9,1.0,1,2409,,,,765,765,765.0,AJBGEP_23415,HFCAGB_23455,BEJGEH_22735,GEGEGB_23770,ODDLKH_01700,LNHIMF_22750,ONMMKP_11610,IKCLMC_16795,PKJKAM_11180
lsrE,lsrE,Putative epimerase LsrE,9,9,1.0,1,2408,,,,765,765,765.0,AJBGEP_21460,HFCAGB_21680,BEJGEH_20725,GEGEGB_18660,ODDLKH_22710,LNHIMF_20680,ONMMKP_13535,IKCLMC_03630,PKJKAM_07020
ygbI,ygbI,DNA-binding transcriptional repressor YgbI,9,9,1.0,1,2407,,,,765,765,765.0,AJBGEP_15425,HFCAGB_15660,BEJGEH_14575,GEGEGB_14810,ODDLKH_16735,LNHIMF_14785,ONMMKP_19770,IKCLMC_19735,PKJKAM_12300
phsC,phsC,thiosulfate reductase cytochrome B subunit,9,9,1.0,1,2406,,,,765,765,765.0,AJBGEP_11120,HFCAGB_11625,BEJGEH_10410,GEGEGB_04315,ODDLKH_12795,LNHIMF_10725,ONMMKP_23925,IKCLMC_09725,PKJKAM_20505
group_745,pgpB,phosphatidylglycerophosphatase B,9,9,1.0,1,2405,,,,765,765,765.0,AJBGEP_09005,HFCAGB_07855,BEJGEH_06795,GEGEGB_08570,ODDLKH_11000,LNHIMF_08895,ONMMKP_01645,IKCLMC_22295,PKJKAM_22370
pdhR,pdhR,pyruvate dehydrogenase complex transcriptional repressor PdhR,9,9,1.0,1,2403,,,,765,765,765.0,AJBGEP_00795,HFCAGB_00790,BEJGEH_00815,GEGEGB_00830,ODDLKH_03165,LNHIMF_00785,ONMMKP_10125,IKCLMC_15255,PKJKAM_03835
tpiA,tpiA,triose-phosphate isomerase,9,9,1.0,1,2398,,,,768,768,768.0,AJBGEP_21465,HFCAGB_21685,BEJGEH_20730,GEGEGB_18655,ODDLKH_22715,LNHIMF_20685,ONMMKP_13530,IKCLMC_03635,PKJKAM_07015
livG,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,9,9,1.0,1,2397,,,,768,768,768.0,AJBGEP_18755,HFCAGB_19025,BEJGEH_17995,GEGEGB_20935,ODDLKH_20060,LNHIMF_18025,ONMMKP_16430,IKCLMC_14140,PKJKAM_19050
hycG,hycG,formate hydrogenlyase subunit HycG,9,9,1.0,1,2396,,,,768,768,768.0,AJBGEP_15060,HFCAGB_15295,BEJGEH_14195,GEGEGB_14470,ODDLKH_16370,LNHIMF_14435,ONMMKP_20145,IKCLMC_20100,PKJKAM_12680
trmD,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,9,9,1.0,1,2395,,,,768,768,768.0,AJBGEP_14370,HFCAGB_14545,BEJGEH_13480,GEGEGB_13840,ODDLKH_15685,LNHIMF_13825,ONMMKP_21080,IKCLMC_20675,PKJKAM_13185
yafJ,yafJ,putative glutamine amidotransferase YafJ,9,9,1.0,1,2394,,,,768,768,768.0,AJBGEP_01650,HFCAGB_01645,BEJGEH_01600,GEGEGB_13385,ODDLKH_04000,LNHIMF_01685,ONMMKP_09260,IKCLMC_10365,PKJKAM_17185
nit2,nit2,amidohydrolase,9,9,1.0,1,2393,,,,768,768,768.0,AJBGEP_01635,HFCAGB_01630,BEJGEH_01585,GEGEGB_13400,ODDLKH_03985,LNHIMF_01670,ONMMKP_09275,IKCLMC_10350,PKJKAM_17200
group_741,glpR,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family,9,9,1.0,1,2392,,,,768,768,768.0,AJBGEP_00875,HFCAGB_00870,BEJGEH_00920,GEGEGB_00900,ODDLKH_03240,LNHIMF_00855,ONMMKP_10045,IKCLMC_15175,PKJKAM_03750
dedA,dedA,Membrane integrity protein DedA putative transporter DedA/Tvp38 family,9,9,1.0,1,2391,,,,768,768,768.0,AJBGEP_00545,HFCAGB_00525,BEJGEH_00555,GEGEGB_00570,ODDLKH_02915,LNHIMF_00535,ONMMKP_10390,IKCLMC_15510,PKJKAM_10000
bioH,bioH,pimeloyl-ACP methyl ester esterase BioH,9,9,1.0,1,2388,,,,771,771,771.0,AJBGEP_18475,HFCAGB_18740,BEJGEH_17720,GEGEGB_21130,ODDLKH_19785,LNHIMF_17815,ONMMKP_16655,IKCLMC_14415,PKJKAM_19275
garL,garL,2-dehydro-3-deoxyglucarate aldolase,9,9,1.0,1,2387,,,,771,771,771.0,AJBGEP_17150,HFCAGB_17425,BEJGEH_16395,GEGEGB_16690,ODDLKH_18450,LNHIMF_16525,ONMMKP_17935,IKCLMC_18010,PKJKAM_08910
ybfF,ybfF,esterase,9,9,1.0,1,2386,,,,771,771,771.0,AJBGEP_03605,HFCAGB_03960,BEJGEH_03545,GEGEGB_11495,ODDLKH_05950,LNHIMF_04185,ONMMKP_07310,IKCLMC_02175,PKJKAM_01970
yqjQ,yqjQ,SDR family oxidoreductase,9,9,1.0,1,2385,,,,771,771,771.0,AJBGEP_02635,HFCAGB_02660,BEJGEH_02590,GEGEGB_12405,ODDLKH_04975,LNHIMF_02660,ONMMKP_08260,IKCLMC_11350,PKJKAM_16185
ubiE,ubiE,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG,9,9,1.0,1,2384,,,,771,771,771.0,AJBGEP_01370,HFCAGB_01370,BEJGEH_01420,GEGEGB_13715,ODDLKH_03735,LNHIMF_01355,ONMMKP_09530,IKCLMC_10040,PKJKAM_17490
group_738,yadH,Inner membrane transport permease YadH,9,9,1.0,1,2383,,,,771,771,771.0,AJBGEP_00920,HFCAGB_00915,BEJGEH_00965,GEGEGB_00945,ODDLKH_03285,LNHIMF_00900,ONMMKP_10000,IKCLMC_15130,PKJKAM_03705
fixA,fixA,Protein FixA,9,9,1.0,1,2382,,,,771,771,771.0,AJBGEP_00395,HFCAGB_00390,BEJGEH_00390,GEGEGB_00395,ODDLKH_02765,LNHIMF_00385,ONMMKP_10540,IKCLMC_15665,PKJKAM_10155
group_734,dmsC,DMSO reductase anchor subunit DmsC,9,9,1.0,1,2377,,,,774,774,774.0,AJBGEP_22600,HFCAGB_22750,BEJGEH_21880,GEGEGB_22265,ODDLKH_00840,LNHIMF_21985,ONMMKP_12405,IKCLMC_05575,PKJKAM_06055
nudC,nudC,NAD(+) diphosphatase,9,9,1.0,1,2376,,,,774,774,774.0,AJBGEP_21890,HFCAGB_22130,BEJGEH_21130,GEGEGB_18250,ODDLKH_00120,LNHIMF_21070,ONMMKP_13125,IKCLMC_01185,PKJKAM_01050
pstB,pstB,phosphate ABC transporter ATP-binding protein PstB,9,9,1.0,1,2375,,,,774,774,774.0,AJBGEP_20295,HFCAGB_20530,BEJGEH_19530,GEGEGB_19375,ODDLKH_21555,LNHIMF_19530,ONMMKP_14660,IKCLMC_12665,PKJKAM_17560
group_733,glpR,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family,9,9,1.0,1,2374,,,,774,774,774.0,AJBGEP_17190,HFCAGB_17465,BEJGEH_16435,GEGEGB_16760,ODDLKH_18515,LNHIMF_16565,ONMMKP_17895,IKCLMC_17945,PKJKAM_08845
zupT,zupT,zinc transporter ZupT,9,9,1.0,1,2373,,,,774,774,774.0,AJBGEP_16840,HFCAGB_17115,BEJGEH_16070,GEGEGB_16355,ODDLKH_18140,LNHIMF_16205,ONMMKP_18245,IKCLMC_18320,PKJKAM_09420
srlR,srlR,glucitol operon DNA-binding transcriptional repressor SrlR,9,9,1.0,1,2372,,,,774,774,774.0,AJBGEP_15010,HFCAGB_15245,BEJGEH_14145,GEGEGB_14420,ODDLKH_16320,LNHIMF_14385,ONMMKP_20195,IKCLMC_20150,PKJKAM_12730
hisP,hisP,histidine ABC transporter ATP-binding protein HisP,9,9,1.0,1,2371,,,,774,774,774.0,AJBGEP_12610,HFCAGB_13080,BEJGEH_11885,GEGEGB_02775,ODDLKH_14290,LNHIMF_12445,ONMMKP_22490,IKCLMC_08230,PKJKAM_14610
cbiF,cbiF,cobalt-precorrin-4 methyltransferase,9,9,1.0,1,2369,,,,774,774,774.0,AJBGEP_10945,HFCAGB_11450,BEJGEH_10235,GEGEGB_04490,ODDLKH_12620,LNHIMF_10550,ONMMKP_24105,IKCLMC_09905,PKJKAM_20680
modA,modA,molybdate ABC transporter substrate-binding protein,9,9,1.0,1,2368,,,,774,774,774.0,AJBGEP_04030,HFCAGB_04310,BEJGEH_03910,GEGEGB_11110,ODDLKH_06375,LNHIMF_04565,ONMMKP_06885,IKCLMC_06875,PKJKAM_05570
yaaA,yaaA,peroxide stress protein YaaA,9,9,1.0,1,2367,,,,774,774,774.0,AJBGEP_00025,HFCAGB_00025,BEJGEH_00025,GEGEGB_00025,ODDLKH_02405,LNHIMF_00025,ONMMKP_10890,IKCLMC_16020,PKJKAM_10520
group_731,,DUF4311 domain-containing protein,9,9,1.0,1,2365,,,,777,777,777.0,AJBGEP_23265,HFCAGB_23315,BEJGEH_22595,GEGEGB_23625,ODDLKH_01560,LNHIMF_22610,ONMMKP_11750,IKCLMC_16930,PKJKAM_11320
argB,argB,acetylglutamate kinase,9,9,1.0,1,2364,,,,777,777,777.0,AJBGEP_21675,HFCAGB_21915,BEJGEH_20915,GEGEGB_18460,ODDLKH_22925,LNHIMF_20860,ONMMKP_13335,IKCLMC_03845,PKJKAM_06805
sseB,sseB,enhanced serine sensitivity protein SseB,9,9,1.0,1,2363,,,,777,777,777.0,AJBGEP_13570,HFCAGB_14095,BEJGEH_12850,GEGEGB_01740,ODDLKH_15235,LNHIMF_13375,ONMMKP_21530,IKCLMC_06210,PKJKAM_13650
hisF,hisF,Imidazole glycerol phosphate synthase subunit HisF,9,9,1.0,1,2362,,,,777,777,777.0,AJBGEP_11205,HFCAGB_11710,BEJGEH_10495,GEGEGB_04220,ODDLKH_12880,LNHIMF_11105,ONMMKP_23835,IKCLMC_09635,PKJKAM_20420
elyC,elyC,envelope biogenesis factor ElyC,9,9,1.0,1,2361,,,,777,777,777.0,AJBGEP_04915,HFCAGB_05180,BEJGEH_04740,GEGEGB_10260,ODDLKH_07240,LNHIMF_05400,ONMMKP_05790,IKCLMC_07775,PKJKAM_04705
group_729,fepC,ABC-type cobalamin/Fe3+-siderophores transport system ATPase component,9,9,1.0,1,2357,,,,780,780,780.0,AJBGEP_03980,HFCAGB_04260,BEJGEH_03860,GEGEGB_11160,ODDLKH_06325,LNHIMF_04515,ONMMKP_06935,IKCLMC_06825,PKJKAM_05620
deoC,deoC,deoxyribose-phosphate aldolase,9,9,1.0,1,2355,,,,780,780,780.0,AJBGEP_23920,HFCAGB_24045,BEJGEH_23350,GEGEGB_24350,ODDLKH_02215,LNHIMF_23180,ONMMKP_11080,IKCLMC_16210,PKJKAM_10710
yihY,yihY,virulence factor BrkB family protein,9,9,1.0,1,2353,,,,780,780,780.0,AJBGEP_21185,HFCAGB_21405,BEJGEH_20435,GEGEGB_18945,ODDLKH_22435,LNHIMF_20405,ONMMKP_13810,IKCLMC_03355,PKJKAM_07295
tatC,tatC,Sec-independent protein translocase subunit TatC,9,9,1.0,1,2352,,,,780,780,780.0,AJBGEP_20910,HFCAGB_21130,BEJGEH_20155,GEGEGB_17520,ODDLKH_22160,LNHIMF_20130,ONMMKP_14065,IKCLMC_02320,PKJKAM_07550
srlD,srlD,sorbitol-6-phosphate dehydrogenase,9,9,1.0,1,2351,,,,780,780,780.0,AJBGEP_15000,HFCAGB_15235,BEJGEH_14135,GEGEGB_14410,ODDLKH_16310,LNHIMF_14375,ONMMKP_20205,IKCLMC_20160,PKJKAM_12740
potC,potC,spermidine/putrescine ABC transporter permease PotC,9,9,1.0,1,2350,,,,780,780,780.0,AJBGEP_06125,HFCAGB_10385,BEJGEH_09360,GEGEGB_08975,ODDLKH_08155,LNHIMF_06330,ONMMKP_04575,IKCLMC_04345,PKJKAM_02625
fetB,fetB,iron export ABC transporter permease subunit FetB,9,9,1.0,1,2349,,,,780,780,780.0,AJBGEP_02625,HFCAGB_02650,BEJGEH_02580,GEGEGB_12415,ODDLKH_04965,LNHIMF_02650,ONMMKP_08270,IKCLMC_11340,PKJKAM_16195
nanR,nanR,transcriptional regulator NanR,9,9,1.0,1,2345,,,,783,783,783.0,AJBGEP_17610,HFCAGB_17880,BEJGEH_16850,GEGEGB_17160,ODDLKH_18925,LNHIMF_16965,ONMMKP_17500,IKCLMC_17545,PKJKAM_08440
mlaE,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,9,9,1.0,1,2344,,,,783,783,783.0,AJBGEP_17465,HFCAGB_17730,BEJGEH_16700,GEGEGB_17010,ODDLKH_18780,LNHIMF_16815,ONMMKP_17645,IKCLMC_17690,PKJKAM_08585
truC,truC,tRNA pseudouridine(65) synthase TruC,9,9,1.0,1,2343,,,,783,783,783.0,AJBGEP_15655,HFCAGB_15925,BEJGEH_14855,GEGEGB_15090,ODDLKH_16965,LNHIMF_15020,ONMMKP_19510,IKCLMC_19505,PKJKAM_12045
argT,argT,lysine/arginine/ornithine ABC transporter substrate-binding protein ArgT,9,9,1.0,1,2342,,,,783,783,783.0,AJBGEP_12630,HFCAGB_13100,BEJGEH_11905,GEGEGB_02755,ODDLKH_14310,LNHIMF_12465,ONMMKP_22470,IKCLMC_08210,PKJKAM_14590
hisJ,hisJ,histidine ABC transporter substrate-binding protein HisJ,9,9,1.0,1,2341,,,,783,783,783.0,AJBGEP_12625,HFCAGB_13095,BEJGEH_11900,GEGEGB_02760,ODDLKH_14305,LNHIMF_12460,ONMMKP_22475,IKCLMC_08215,PKJKAM_14595
group_723,iclR,DNA-binding transcriptional regulator IclR family,9,9,1.0,1,2340,,,,783,783,783.0,AJBGEP_12315,HFCAGB_12780,BEJGEH_11590,GEGEGB_03065,ODDLKH_13995,LNHIMF_12160,ONMMKP_22780,IKCLMC_08530,PKJKAM_14895
flgG,flgG,flagellar basal-body rod protein FlgG,9,9,1.0,1,2339,,,,783,783,783.0,AJBGEP_05900,HFCAGB_10615,BEJGEH_09580,GEGEGB_09210,ODDLKH_07930,LNHIMF_06075,ONMMKP_04800,IKCLMC_04120,PKJKAM_02815
group_722,glpR,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family,9,9,1.0,1,2337,,,,786,786,786.0,AJBGEP_19965,HFCAGB_20235,BEJGEH_19245,GEGEGB_19670,ODDLKH_21260,LNHIMF_19240,ONMMKP_15235,IKCLMC_12985,PKJKAM_17855
znuB,znuB,zinc ABC transporter permease subunit ZnuB,9,9,1.0,1,2336,,,,786,786,786.0,AJBGEP_09955,HFCAGB_06620,BEJGEH_05865,GEGEGB_05255,ODDLKH_11940,LNHIMF_09850,ONMMKP_00685,IKCLMC_21290,PKJKAM_21370
group_721,,DUF1264 domain-containing protein,9,9,1.0,1,2335,,,,786,786,786.0,AJBGEP_08240,HFCAGB_08625,BEJGEH_07590,GEGEGB_07795,ODDLKH_10245,LNHIMF_08110,ONMMKP_02425,IKCLMC_23055,PKJKAM_23135
caiD,caiD,crotonobetainyl-CoA hydratase,9,9,1.0,1,2333,,,,786,786,786.0,AJBGEP_00370,HFCAGB_00365,BEJGEH_00365,GEGEGB_00370,ODDLKH_02740,LNHIMF_00360,ONMMKP_10565,IKCLMC_15690,PKJKAM_10180
ygiD,ygiD,45-DOPA dioxygenase extradiol,9,9,1.0,1,2331,,,,789,789,789.0,AJBGEP_16835,HFCAGB_17110,BEJGEH_16065,GEGEGB_16350,ODDLKH_18135,LNHIMF_16200,ONMMKP_18250,IKCLMC_18325,PKJKAM_09425
fabI,fabI,enoyl-ACP reductase FabI,9,9,1.0,1,2330,,,,789,789,789.0,AJBGEP_08950,HFCAGB_07910,BEJGEH_06850,GEGEGB_08515,ODDLKH_10945,LNHIMF_08840,ONMMKP_01700,IKCLMC_22350,PKJKAM_22430
phoH,phoH,phosphate starvation-inducible protein PhoH,9,9,1.0,1,2329,,,,789,789,789.0,AJBGEP_05620,HFCAGB_05870,BEJGEH_05145,GEGEGB_09490,ODDLKH_07650,LNHIMF_05795,ONMMKP_05075,IKCLMC_03105,PKJKAM_03100
modE,modE,molybdenum-dependent transcriptional regulator,9,9,1.0,1,2328,,,,789,789,789.0,AJBGEP_04020,HFCAGB_04300,BEJGEH_03900,GEGEGB_11120,ODDLKH_06365,LNHIMF_04555,ONMMKP_06895,IKCLMC_06865,PKJKAM_05580
cpoB,cpoB,cell division protein CpoB,9,9,1.0,1,2327,,,,789,789,789.0,AJBGEP_03875,HFCAGB_04160,BEJGEH_03755,GEGEGB_11210,ODDLKH_06220,LNHIMF_04455,ONMMKP_07040,IKCLMC_01905,PKJKAM_02180
lpxA,lpxA,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,9,9,1.0,1,2326,,,,789,789,789.0,AJBGEP_01210,HFCAGB_01210,BEJGEH_01260,GEGEGB_01220,ODDLKH_03575,LNHIMF_01190,ONMMKP_09680,IKCLMC_14840,PKJKAM_00720
spaR,spaR,SPI-1 type III secretion system export apparatus protein SpaR,9,9,1.0,1,2322,,,,792,792,792.0,AJBGEP_15270,HFCAGB_15505,BEJGEH_14405,GEGEGB_14670,ODDLKH_16580,LNHIMF_14645,ONMMKP_19925,IKCLMC_19890,PKJKAM_12470
ypjD,ypjD,ABC-type uncharacterized transport system permease component,9,9,1.0,1,2321,,,,792,792,792.0,AJBGEP_14390,HFCAGB_14565,BEJGEH_13500,GEGEGB_13860,ODDLKH_15705,LNHIMF_13845,ONMMKP_21060,IKCLMC_20655,PKJKAM_13165
ucpA,ucpA,SDR family oxidoreductase UcpA,9,9,1.0,1,2320,,,,792,792,792.0,AJBGEP_13100,HFCAGB_13605,BEJGEH_12370,GEGEGB_02250,ODDLKH_14775,LNHIMF_12925,ONMMKP_22000,IKCLMC_06670,PKJKAM_14120
kdgR,kdgR,DNA-binding transcriptional regulator KdgR,9,9,1.0,1,2319,,,,792,792,792.0,AJBGEP_09675,HFCAGB_07185,BEJGEH_06125,GEGEGB_05515,ODDLKH_11665,LNHIMF_09565,ONMMKP_00980,IKCLMC_21625,PKJKAM_21705
group_717,glpR,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family,9,9,1.0,1,2318,,,,792,792,792.0,AJBGEP_08525,HFCAGB_08340,BEJGEH_07295,GEGEGB_08060,ODDLKH_10530,LNHIMF_08400,ONMMKP_02140,IKCLMC_22770,PKJKAM_22850
